num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
6239,1.3009819175626418,0.0005446400304804921,0.04301966767793978,3371171.783435787,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
6595,1.2864459758810718,0.015080581712050511,1.2246880891816596,4397.074375763185,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
6972,1.2990530809882932,0.0024734766048291057,0.20653159366074866,163449.7971886469,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
7370,1.2996170188200975,0.0019095387730247992,0.16393142914126888,274247.72763293295,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
7790,1.2877315777507086,0.013794979842413735,1.2175583938200927,5254.820186251709,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
8234,1.299924721549116,0.0016018360440062107,0.14535283042857838,389730.0349276037,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
8704,1.2985526800707077,0.0029738775224146252,0.27744858838978254,113071.67957840019,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
9201,1.3089077146535097,0.007381157060387444,0.7080141900700425,18354.861289702774,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
9726,1.296736922461152,0.004789635131970282,0.4723561381912499,43590.83002346326,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
10281,1.3095156276121807,0.007989070019058353,0.8100538809668012,15667.782896119528,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
10867,1.3024419278488653,0.0009153702557429533,0.09542268439060997,1193455.98709094,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
11487,1.3065654165494092,0.005038858956286862,0.5400519177736472,39385.430403528095,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
12143,1.296750678599956,0.004775878993166227,0.5262793286562764,43842.3041893379,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
12836,1.3074177078263653,0.005891150233243048,0.6674441827918872,28813.751338783637,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
13568,1.3007675493131152,0.0007590082800070785,0.08841061896520526,1735829.1319389977,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
14342,1.2971230682490307,0.004403489344091627,0.5273534709693355,51571.065042027076,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
15160,1.3148842787065973,0.013357721113474996,1.6446821256145199,5604.479129232687,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
16025,1.2979143379878333,0.003612219605289013,0.45727047891950107,76639.33172460244,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
16940,1.3002640769654914,0.001262480627630902,0.16431659458900608,627408.7259573218,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
17906,1.3004975297179766,0.0010290278751456938,0.13769761862250118,944377.6951439291,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
18928,1.3057890760255924,0.004262518432470053,0.5864333140195206,55038.61033956289,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
20008,1.302567706378195,0.0010411487850727763,0.1472701184202404,922517.0608206659,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
21149,1.3011332065399965,0.0003933510531257678,0.057203846929174615,6463077.527318714,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
22356,1.3022814057659942,0.0007548481728718581,0.11286431722183472,1755014.8018397505,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
