method,dist,queries,epsilon,p_hat,true_p,error
classical,exponential,30538,,0.04410897897701225,0.046254824938484214,0.002145845961471965
classical,exponential,34304,,0.045242537313432835,0.046254824938484214,0.0010122876250513793
classical,exponential,38535,,0.04621772414687946,0.046254824938484214,3.7100791604752215e-05
classical,exponential,43287,,0.04611084159216393,0.046254824938484214,0.00014398334632028525
classical,exponential,48626,,0.046744539958047136,0.046254824938484214,0.0004897150195629224
classical,exponential,54622,,0.046611255538061586,0.046254824938484214,0.0003564305995773717
classical,exponential,61359,,0.047213937645659156,0.046254824938484214,0.0009591127071749417
classical,exponential,68926,,0.04639758581667296,0.046254824938484214,0.00014276087818874267
classical,exponential,77426,,0.04516570661018263,0.046254824938484214,0.0010891183283015873
classical,exponential,86974,,0.04683008715248235,0.046254824938484214,0.0005752622139981386
classical,exponential,97700,,0.04669396110542477,0.046254824938484214,0.0004391361669405583
classical,exponential,109749,,0.04689792162115372,0.046254824938484214,0.000643096682669507
classical,exponential,123284,,0.04528568184030369,0.046254824938484214,0.0009691430981805249
classical,exponential,138488,,0.04703656634509849,0.046254824938484214,0.0007817414066142794
classical,exponential,155567,,0.046115178668997926,0.046254824938484214,0.00013964626948628767
classical,exponential,174752,,0.04639718000366233,0.046254824938484214,0.00014235506517811664
classical,exponential,196304,,0.045826880756377864,0.046254824938484214,0.0004279441821063504
classical,exponential,220513,,0.04610612526245618,0.046254824938484214,0.0001486996760280343
classical,exponential,247707,,0.04573952290407619,0.046254824938484214,0.0005153020344080272
classical,exponential,278255,,0.046151911016873014,0.046254824938484214,0.00010291392161120017
classical,exponential,312571,,0.046664597803379074,0.046254824938484214,0.0004097728648948598
classical,exponential,351119,,0.04633756646606991,0.046254824938484214,8.274152758569464e-05
classical,exponential,394420,,0.04595608741950205,0.046254824938484214,0.0002987375189821631
classical,exponential,443062,,0.04589651109776961,0.046254824938484214,0.0003583138407146011
classical,exponential,497702,,0.04603357028904847,0.046254824938484214,0.00022125464943574535
classical,exponential,559081,,0.046224071288417955,0.046254824938484214,3.0753650066259186e-05
classical,exponential,628029,,0.04661408947675983,0.046254824938484214,0.00035926453827561655
classical,exponential,705480,,0.046092022452798094,0.046254824938484214,0.00016280248568611988
classical,exponential,792482,,0.04596571278590555,0.046254824938484214,0.00028911215257866607
classical,exponential,890215,,0.04626859803530608,0.046254824938484214,1.3773096821864672e-05
classical,exponential,1000000,,0.046137,0.046254824938484214,0.00011782493848421643
classical,lognormal,10,,0.0,0.0460475731244029,0.0460475731244029
classical,lognormal,11,,0.09090909090909091,0.0460475731244029,0.04486151778468801
classical,lognormal,12,,0.08333333333333333,0.0460475731244029,0.03728576020893043
classical,lognormal,14,,0.0,0.0460475731244029,0.0460475731244029
classical,lognormal,15,,0.06666666666666667,0.0460475731244029,0.020619093542263767
classical,lognormal,17,,0.11764705882352941,0.0460475731244029,0.07159948569912651
